,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
3841,318330,Mecha Ace,Choice of Games,Choice of Games,,131,18,0,"0 .. 20,000",0,0,0,0,599,599,0,0
3842,365350,How to Take Off Your Mask,ROSEVERTE,ROSEVERTE,,145,29,0,"0 .. 20,000",0,0,0,0,719,1199,40,0
3843,386520,Champion of the Gods,Choice of Games,Choice of Games,,149,23,0,"0 .. 20,000",0,0,0,0,599,599,0,0
3844,1709080,Dating Simulator,piratecat games,Cheesecake Dev,,149,136,0,"0 .. 20,000",0,0,0,0,249,499,50,6
3845,738650,Seers Isle,Nova-box,Nova-box,,150,13,0,"0 .. 20,000",0,0,0,0,1399,1399,0,1
3846,2387590,Fairy Biography4 : Affair,Lovely Games,Lovely Games,,163,50,0,"0 .. 20,000",0,0,0,0,699,699,0,1
3847,2138090,Atelier Marie Remake: The Alchemist of Salburg,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,213,22,0,"0 .. 20,000",0,0,0,0,4999,4999,0,7
3848,265470,Even the Ocean,"Melos Han-Tani, Marina Kittaka",Analgesic Productions,,217,33,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
3849,1959350,Homebody,Game Grumps,"Rogue Games, Inc.",,486,24,0,"0 .. 20,000",0,0,0,0,1999,1999,0,2
3850,716340,Blackberry Honey,ebi-hime,ebi-hime,,514,18,0,"0 .. 20,000",7,0,7,0,1299,1299,0,1
3851,1109280,Back To Hell,Devil Fish,Devil Fish,,1,6,0,"0 .. 20,000",0,0,0,0,99,99,0,0
3852,1971880,Whispered Secrets: Tying the Knot Collector's Edition,GrandMa Studios,Big Fish Games,,3,1,0,"0 .. 20,000",0,0,0,0,1399,1399,0,1
3853,1513660,Stalked,Lone Axe Games,Lone Axe Games,,6,3,0,"0 .. 20,000",0,0,0,0,499,499,0,0
3854,2186530,My Desktop Girlfriend,Astra Games,Astra Games,,7,2,0,"0 .. 20,000",0,0,0,0,49,99,51,0
3855,2394980,Mystery Case Files: The Last Resort,Grandma Studios,Big Fish Games,,7,2,0,"0 .. 20,000",0,0,0,0,699,699,0,1
3856,2552970,Pew-Pew Land,Coolhot Games,Coolhot Games,,14,18,0,"0 .. 20,000",0,0,0,0,99,99,0,0
3857,2027490,Paramnesia,Denis Lutsenko,Meridian4,,17,10,0,"0 .. 20,000",0,0,0,0,299,299,0,0
3858,1578330,Doki Doki Ragnarok,BrutalHack,BrutalHack,,20,0,0,"0 .. 20,000",0,0,0,0,999,999,0,2
3859,1944140,Lys and Ruka's Magical Bag,desunoya,Sekai Project,,27,16,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
3860,2157070,Funeral,Sysreb Games,Sysreb Games,,28,7,0,"0 .. 20,000",0,0,0,0,299,299,0,1
3861,1308870,Cyber Ops Prologue,Octeto Studios,Games Operators,,30,12,0,"0 .. 20,000",0,0,0,0,0,0,0,0
3862,1360660,Neon Blight,Bleeding Tapes,Freedom Games,,30,35,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
3863,1681010,Go! Go! PogoGirl,Ohsat Games,Ohsat Games,,33,0,0,"0 .. 20,000",0,0,0,0,599,599,0,0
3864,1569930,Sword and Fairy 5,SOFTSTAR TECHNOLOGY(BEIJING),SOFTSTAR ENTERTAINMENT,,34,23,0,"0 .. 20,000",0,0,0,0,1299,1299,0,5
3865,1267770,Linda & Joan Prologue: “Four Months Earlier”,False Vacuum Games,False Vacuum Games,,36,6,0,"0 .. 20,000",0,0,0,0,0,0,0,0
3866,1421700,BegieAde ~a lyric of lie and retribution~,Planet Pandemic,OTAKU Plan,,41,21,0,"0 .. 20,000",0,0,0,0,1399,1399,0,0
3867,1515820,Guns of Succubus,RakuRai,OTAKU Plan,,55,8,0,"0 .. 20,000",0,0,0,0,699,699,0,0
3868,1127920,Loser Reborn,Sounding Stone / 老奉毊,"Sounding Stone / 老奉毊, RMAsia",,58,10,0,"0 .. 20,000",0,0,0,0,599,599,0,0
3869,1296260,Sakura Knight 2,Winged Cloud,Winged Cloud,,65,19,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3870,1586370,Anopek,Captain Bear Games,Captain Bear Games,,68,2,0,"0 .. 20,000",0,0,0,0,699,699,0,0
3871,1636700,Wirewalk()↳,"debugChicken, daniserranu",debugChicken,,69,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
3872,1221800,Anime Artist 2: Lovely Danya,Neoclassic Games,Neoclassic Games,,79,8,0,"0 .. 20,000",33,0,33,0,199,199,0,0
3873,1952170,Cafeteria Nipponica,"Kairosoft Co.,Ltd","Kairosoft Co.,Ltd",,92,10,0,"0 .. 20,000",0,0,0,0,899,899,0,5
3874,1257860,Clea 2,InvertMouse,InvertMouse,,96,1,0,"0 .. 20,000",0,0,0,0,1399,1399,0,0
3875,1557410,BLACK WITCHCRAFT,QuattroGear,HIKE Inc.,,98,24,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3876,1758920,Witch Explorer,Pico Games,Pico Games,,121,12,0,"0 .. 20,000",0,0,0,0,699,699,0,1
3877,2063530,Methods: The Canada Files,LockedOn Games,"Erabit, LockedOn Games",,121,3,0,"0 .. 20,000",0,0,0,0,799,799,0,1
3878,1684840,Hot Tub Simulator,Mitsuki Game Studio,Mitsuki Game Studio,,123,22,0,"0 .. 20,000",0,0,0,0,199,199,0,0
3879,1687960,The Wreck,The Pixel Hunt,The Pixel Hunt,,141,16,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
3880,1830720,MOTHERED - A ROLE-PLAYING HORROR GAME,ENIGMA STUDIO,ENIGMA STUDIO,,208,12,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3881,1720090,Aspire: Ina's Tale,Wondernaut Studio,Untold Tales,,217,40,0,"0 .. 20,000",0,0,0,0,1299,1299,0,2
3882,2271980,Adorable Witch5 : Lingering,lovelygames,lovelygames,,243,165,0,"0 .. 20,000",0,0,0,0,899,899,0,0
3883,1705140,Final Profit: A Shop RPG,Brent Arnold,Brent Arnold,,249,9,0,"0 .. 20,000",0,0,0,0,1499,1499,0,28
3884,2373290,The Game of Annie 安妮的游戏,potentknight,potentknight,,267,128,0,"0 .. 20,000",90,0,90,0,1099,1099,0,6
3885,949200,Ambition: A Minuet in Power,Joy Manufacturing Co.,Iceberg Interactive,,276,41,0,"0 .. 20,000",0,0,0,0,1049,2099,50,4
3886,1649740,Hunt the Night,Moonlight Games,DANGEN Entertainment,,311,83,0,"0 .. 20,000",0,0,0,0,1999,1999,0,2
3887,1933740,The Caligula Effect 2,"historia Inc., FURYU Corporation",historia Inc.,,326,27,0,"0 .. 20,000",0,0,0,0,4999,4999,0,7
3888,1996210,Sakura Hime 3,GirlGames,GirlGames,,411,25,0,"0 .. 20,000",0,0,0,0,399,399,0,2
3889,1252320,Touhou Kikamu ~ Elegant Impermanence of Sakura,东方祈华梦制作组,"东方祈华梦制作组, 东游鉴",,439,12,0,"0 .. 20,000",0,0,0,0,1399,1399,0,2
3890,1480040,Touhou Multi Scroll Shooting 2,Skydash studio,Skydash studio,,15,1,0,"0 .. 20,000",0,0,0,0,1199,1199,0,1
3891,2322850,GOOD LUCK BABY!,Noodletub Games,Noodletub Games,,16,0,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
3892,1191770,混世萌王喵霸霸 Cute Chaos Demon Nyanbaba,冷笑黑妖,冷笑黑妖,,93,0,0,"0 .. 20,000",0,0,0,0,99,99,0,1
3893,1145130,卖萌恶霸喵霸霸 Cute Bully Nyanbaba,冷笑黑妖,冷笑黑妖,,123,1,0,"0 .. 20,000",0,0,0,0,99,99,0,0
3894,1325900,Demon Turf: Queens Edition,Fabraz,Playtonic Friends,,475,108,0,"0 .. 20,000",37,0,37,0,2999,2999,0,7
3895,1209720,Machina of the Planet Tree -Unity Unions-,Denneko Yuugi,Sekai Project,,26,11,0,"0 .. 20,000",0,0,0,0,1899,1899,0,1
3896,510520,Little Red Lie,WZOGI,WZOGI,,112,17,0,"0 .. 20,000",0,0,0,0,999,999,0,0
3897,752050,Virtual Reality Girls,ErosVR,ErosVR,,17,17,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
3898,726430,Creeping Terror,"Nikkatsu Corporation, mebius",Aksys Games,,26,17,0,"0 .. 20,000",0,0,0,0,899,899,0,0
3899,807230,Silenced: The House,Graven Visual Novels,Graven Visual Novels,,62,24,0,"0 .. 20,000",0,0,0,0,199,199,0,0
3900,713260,Beyond the Sunset 斜阳下的彼岸,凝冰剑斩,凝冰剑斩,,153,9,0,"0 .. 20,000",0,0,0,0,99,99,0,0
